category,filename,description,prompt,size,format
phonograms,phonograms/a.png,"Phonogram card: a - /ă/ /ā/ /ä/","A clean educational flash card on white background. Large lowercase letter 'a' in Georgia serif font, navy blue (#2a5c8a), centered. Below the letter, three pronunciation guides in smaller text: /ă/ /ā/ /ä/. Under each: at, nation, father. Minimalist, Montessori-style, no distractions. High contrast, print-ready.",800x600,png
phonograms,phonograms/d.png,"Phonogram card: d - /d/","A clean educational flash card on white background. Large lowercase letter 'd' in Georgia serif font, navy blue (#2a5c8a), centered. Below: /d/. Under: dog. Minimalist, Montessori-style, no distractions.",800x600,png
phonograms,phonograms/g.png,"Phonogram card: g - /g/ /j/","A clean educational flash card on white background. Large lowercase letter 'g' in Georgia serif font, navy blue (#2a5c8a), centered. Below: /g/ /j/. Under: go, gem. Minimalist, Montessori-style, no distractions.",800x600,png
phonograms,phonograms/c.png,"Phonogram card: c - /k/ /s/","A clean educational flash card on white background. Large lowercase letter 'c' in Georgia serif font, navy blue (#2a5c8a), centered. Below: /k/ /s/. Under: cat, cent. Minimalist, Montessori-style.",800x600,png
phonograms,phonograms/o.png,"Phonogram card: o - /ŏ/ /ō/ /ö/ /ŭ/","A clean educational flash card on white background. Large lowercase letter 'o' in Georgia serif font, navy blue (#2a5c8a), centered. Below: /ŏ/ /ō/ /ö/ /ŭ/. Under: odd, go, to, son. Minimalist, Montessori-style.",800x600,png
phonograms,phonograms/qu.png,"Phonogram card: qu - /kw/","A clean educational flash card on white background. Large lowercase letters 'qu' in Georgia serif font, navy blue (#2a5c8a), centered. Below: /kw/. Under: queen. Minimalist, Montessori-style. The 'qu' is shown as a connected pair.",800x600,png
phonograms,phonograms/all-single.png,"All 26 single-letter phonograms chart","A wall-chart reference showing all 26 lowercase letters a-z arranged in 5 rows (grouped by handwriting stroke family). Each letter in navy blue Georgia font, large size (60pt). Below each letter, its sounds in smaller type. White background, clean grid layout. Print-friendly, minimalist educational poster. No illustrations, just typography.",2400x1800,png
phonograms,phonograms/all-multi.png,"All 49 multi-letter phonograms chart","A wall-chart reference showing 49 multi-letter phonograms (sh, th, ck, ee, igh, ch, er, wh, oi, oy, ai, ay, ng, ar, or, oa, ow, ou, oo, ea, ed, ir, ur, ear, wor, wr, kn, gn, dge, tch, aw, au, ew, ui, eu, ei, ey, eigh, ie, ph, gh, ough, augh, ti, ci, si, bu, gu) arranged in a clean grid. Each in navy blue, with sounds below. White background, print-friendly poster.",2400x1800,png
animals,animals/cat.png,"Montessori-style: orange tabby cat sitting","Photorealistic image of an orange tabby cat sitting on a clean neutral background. Natural lighting, sharp focus, the cat looking directly at the viewer. Montessori-style: realistic, no cartoon elements, no distracting background. Suitable for a children's reader illustration.",1200x900,png
animals,animals/dog.png,"Montessori-style: brown dog","Photorealistic image of a medium-sized brown dog with floppy ears, sitting on a clean neutral background. Natural lighting, sharp focus. Montessori-style: realistic, no cartoon elements. Suitable for a children's reader illustration.",1200x900,png
animals,animals/frog.png,"Montessori-style: green frog on a leaf","Photorealistic image of a small green tree frog sitting on a large green leaf, clean neutral background. Natural lighting, sharp focus on the frog. Montessori-style: realistic. Character: Fred the Frog for Stage 2 reader.",1200x900,png
animals,animals/pig.png,"Montessori-style: pink pig standing","Photorealistic image of a pink pig standing on grass or neutral ground. Clean, natural lighting, sharp focus. Montessori-style: realistic, no cartoon elements.",1200x900,png
animals,animals/hen.png,"Montessori-style: red hen","Photorealistic image of a reddish-brown hen standing on neutral ground. Natural lighting, sharp focus. Montessori-style: realistic. Character for decodable reader.",1200x900,png
animals,animals/fox.png,"Montessori-style: red fox","Photorealistic image of a red fox sitting or standing in a natural pose, clean neutral background. Sharp focus, natural lighting. Montessori-style.",1200x900,png
animals,animals/duck.png,"Montessori-style: mallard duck","Photorealistic image of a mallard duck standing near water or on neutral ground. Sharp focus on the duck, natural lighting. Montessori-style.",1200x900,png
animals,animals/fish.png,"Montessori-style: orange goldfish","Photorealistic image of a bright orange goldfish swimming, clean neutral background or clear water. Sharp focus. Montessori-style.",1200x900,png
animals,animals/snail.png,"Montessori-style: garden snail on a leaf","Photorealistic image of a brown garden snail on a green leaf, clean neutral background. Sharp focus on the snail's shell and body. Natural lighting.",1200x900,png
animals,animals/skunk.png,"Montessori-style: black and white skunk","Photorealistic image of a skunk with distinctive black and white markings, standing on neutral ground. Natural lighting, sharp focus.",1200x900,png
animals,animals/sheep.png,"Montessori-style: white sheep","Photorealistic image of a white woolly sheep standing in a natural pose, neutral background. Natural lighting, sharp focus.",1200x900,png
animals,animals/goat.png,"Montessori-style: brown goat","Photorealistic image of a brown goat with horns, standing on neutral ground. Natural lighting, sharp focus.",1200x900,png
animals,animals/snake.png,"Montessori-style: green snake","Photorealistic image of a green snake coiled on a neutral surface. Natural lighting, sharp focus. Non-threatening pose.",1200x900,png
animals,animals/whale.png,"Montessori-style: humpback whale breaching","Photorealistic image of a humpback whale partially breaching the ocean surface. Clean composition, natural lighting.",1200x900,png
animals,animals/horse.png,"Montessori-style: brown horse","Photorealistic image of a brown horse standing in profile, neutral background. Natural lighting, sharp focus.",1200x900,png
animals,animals/mouse.png,"Montessori-style: small brown mouse","Photorealistic image of a small brown field mouse, clean neutral background. Sharp focus on the mouse. Natural lighting, cute but realistic.",1200x900,png
animals,animals/goose.png,"Montessori-style: white goose","Photorealistic image of a white goose standing, neutral background. Natural lighting, sharp focus. Character: Gwen the Goose for Stage 3 reader.",1200x900,png
animals,animals/rabbit.png,"Montessori-style: brown rabbit","Photorealistic image of a brown rabbit sitting, neutral background. Natural lighting, sharp focus. Ears up.",1200x900,png
animals,animals/bird.png,"Montessori-style: blue jay on a branch","Photorealistic image of a blue jay sitting on a bare branch, clean neutral or sky background. Sharp focus, natural lighting.",1200x900,png
animals,animals/firefly.png,"Montessori-style: firefly glowing at dusk","Photorealistic or highly realistic image of a firefly with its abdomen glowing yellow-green against a dark dusk background. Sharp focus on the insect. Magical but realistic.",1200x900,png
animals,animals/ostrich.png,"Montessori-style: ostrich standing","Photorealistic image of an ostrich standing on neutral ground, full body visible. Natural lighting, sharp focus. Tall bird, distinctive long neck.",1200x900,png
animals,animals/turtle.png,"Montessori-style: box turtle","Photorealistic image of a box turtle on neutral ground. Shell patterns visible, sharp focus. Natural lighting.",1200x900,png
animals,animals/eagle.png,"Montessori-style: bald eagle","Photorealistic image of a bald eagle perched or in flight, clean composition. Natural lighting, sharp focus. Majestic but realistic.",1200x900,png
animals,animals/beaver.png,"Montessori-style: beaver","Photorealistic image of a beaver sitting near water, neutral background. Distinctive flat tail visible. Natural lighting.",1200x900,png
illustrations,illustrations/fred-frog-cake.png,"Illustration: Fred the Frog baking a cake","A naturalistic illustration (not cartoon) of a green frog character named Fred wearing a small chef hat and apron, standing at a kitchen counter mixing a cake bowl. Warm, cozy kitchen lighting. Children's book illustration style but grounded in realistic proportions. Cohesive with Montessori aesthetic.",1200x900,png
illustrations,illustrations/gwen-goose-gift.png,"Illustration: Gwen the Goose giving a gift","A naturalistic illustration of a white goose character named Gwen holding a small wrapped gift box with her wing. Soft outdoor background. Children's book style, realistic animal proportions, warm lighting.",1200x900,png
illustrations,illustrations/cole-bike.png,"Illustration: Cole and his bike","A naturalistic illustration of a young boy (Cole) standing beside a red bicycle, looking happy. Simple outdoor scene. Children's book style, realistic proportions.",1200x900,png
illustrations,illustrations/sail-box.png,"Illustration: A sailboat made from a box","A naturalistic illustration of a child sitting in a cardboard box that has been turned into an imaginary sailboat, with a paper sail on a stick. Playful but grounded in realistic style. Warm afternoon lighting.",1200x900,png
illustrations,illustrations/firefly-night.png,"Illustration: Fireflies in a summer meadow at night","A naturalistic illustration of a summer meadow at dusk with multiple fireflies glowing. A child sits watching them. Atmospheric lighting — deep blues with warm yellow-green glow from fireflies. Children's book style.",1200x900,png
illustrations,illustrations/train.png,"Illustration: Steam train on tracks","A naturalistic illustration of a vintage steam train on tracks, billowing white steam. View from a slight distance showing the full train. Children's book style, realistic proportions. Bright daylight.",1200x900,png
illustrations,illustrations/ostrich-running.png,"Illustration: Ostrich running across plain","A naturalistic illustration of an ostrich running at full speed across an open plain. Dust behind its feet. Dynamic but grounded in realistic animal anatomy. Children's book style. Warm sunlight.",1200x900,png
worksheets,worksheets/worksheet-sample.png,"Sample completed worksheet layout","A clean printable worksheet design showing: phonogram at top in large font, writing practice lines below, 3 spelling analysis word boxes with prompt text, and a small rule reference box at bottom. Grayscale-friendly, generous spacing, 14pt font. This is a layout template showing the worksheet structure, not a filled-in worksheet.",1600x1200,png
misc,misc/diacritical-marks.png,"Diacritical marks reference: breve macron diaeresis schwa","A clean reference card showing the four diacritical marks used in this curriculum: breve (˘) over a, macron (¯) over a, diaeresis/two dots (¨) over o, schwa (ə). Each mark labeled with its name and meaning: breve=short, macron=long, diaeresis=broad, schwa=unstressed. Educational reference, navy on white, minimalist.",800x400,png
