stage,lesson_num,lesson_id,title,type,new_phonogram,new_rule,word_list,reader,image_needed
1,1,pa-01-sounds-around-us,Sounds Around Us,phonemic-awareness,,,,"",phonograms/a.png
1,2,pa-02-voiced-unvoiced,Voiced and Unvoiced Sounds,phonemic-awareness,,,,"",
1,3,pa-03-blend-compound,Blending Compound Words,phonemic-awareness,,,,"",
1,4,pa-04-blend-syllables,Blending Syllables,phonemic-awareness,,,,"",
1,5,pa-05-onset-rime,Onset and Rime,phonemic-awareness,,,,"",
1,6,pa-06-blend-cvc,Blending CVC Words,phonemic-awareness,,,,"",
1,7,pa-07-segment-cvc,Segmenting CVC Words,phonemic-awareness,,,,"",
1,8,pa-08-initial-sounds,First Sounds in Words,phonemic-awareness,,,,"",
1,9,pg-a,Phonogram a,phonogram-intro,a,,at am an ad,"",phonograms/a.png
1,10,pg-d,Phonogram d,phonogram-intro,d,,dad ad sad,"",
1,11,pg-g,Phonogram g,phonogram-intro,g,,gag tag bag,"",
1,12,pg-c,Phonogram c,phonogram-intro,c,,cat can cap,"",
1,13,pg-o,Phonogram o,phonogram-intro,o,,dog fog on off,"",
1,14,pg-qu,Phonogram qu,phonogram-intro,qu,11,quit quiz quick,"",
1,15,review-1,Review: Group 1 Phonograms,review,,,"cat dog dad quack","",
1,16,pg-s,Phonogram s,phonogram-intro,s,,sit sat sap,"",
1,17,pg-t,Phonogram t,phonogram-intro,t,,top tap tip,"",
1,18,pg-i,Phonogram i,phonogram-intro,i,,it in if sit,"",
1,19,pg-p,Phonogram p,phonogram-intro,p,,pen pat pop,"",
1,20,pg-u,Phonogram u,phonogram-intro,u,,up us cup pup,"",
1,21,pg-j,Phonogram j,phonogram-intro,j,,jet jam jug,"",
1,22,review-2,Review: Group 2 Phonograms,review,,,"sit pit tip cup jug","",
1,23,pa-09-final-sounds,Last Sounds in Words,phonemic-awareness,,,,"",
1,24,pg-r,Phonogram r,phonogram-intro,r,,red rat rip,"",
1,25,pg-n,Phonogram n,phonogram-intro,n,,net nap nut,"",
1,26,pg-m,Phonogram m,phonogram-intro,m,,man map mud,"",
1,27,pg-e,Phonogram e,phonogram-intro,e,,end bed pen,"",
1,28,pg-l,Phonogram l,phonogram-intro,l,,leg log lip,"",
1,29,pg-b,Phonogram b,phonogram-intro,b,,big bat bed,"",
1,30,review-3,Review: Group 3 Phonograms,review,,,"bed leg big man red","",
1,31,pa-10-medial-sounds,Middle Sounds in Words,phonemic-awareness,,,,"",
1,32,pg-h,Phonogram h,phonogram-intro,h,,hat hit hop,"",
1,33,pg-k,Phonogram k,phonogram-intro,k,,kit kid kiss,"",
1,34,pg-f,Phonogram f,phonogram-intro,f,,fun fit fan,"",
1,35,pg-v,Phonogram v,phonogram-intro,v,,van vest vet,"",
1,36,pg-w,Phonogram w,phonogram-intro,w,,wet win wag,"",
1,37,pg-x,Phonogram x,phonogram-intro,x,,box fox wax,"",
1,38,review-4,Review: Group 4 Phonograms,review,,,"fox van hat kit wet","",
1,39,pg-y,Phonogram y,phonogram-intro,y,,yes yak yam,"",
1,40,pg-z,Phonogram z,phonogram-intro,z,,zip zap zigzag,"",
1,41,pa-11-sound-swap,Sound Swapping Game,phonemic-awareness,,,,"",
1,42,vowels-1,Meet the Vowels,vowel-concept,,,"a e i o u","",
1,43,review-5,All 26 Phonograms Review,review,,,"","",
